ano_eleicao,sigla_uf,nome_municipio,descricao_cargo,num_turno,numero_zona,sigla_partido,nome_candidato,nome_urna_candidato,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,total_votos
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PT,JOAO GILBERTO RIBEIRO,GIBA,13300,,DEFERIDO,SUPLENTE,210
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PPS,ALEXANDRE CÁSSIO GONÇALVES,ALEXANDRE GONÇALVES,23001,,DEFERIDO,SUPLENTE,208
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PRONA,ARNOBIO ARUS,GAUCHO  DO BAITABURGUER,56500,,DEFERIDO,SUPLENTE,208
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PL,JAIRO DOS SANTOS,JAIRO SANTOS,22007,,DEFERIDO,SUPLENTE,206
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PMN,ARMANDO FERNANDES FILHO,ARMANDO,33111,,DEFERIDO,SUPLENTE,205
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PHS,JOÃO FRANCISCO DE ALMEIDA AQUINO,PROF. JOAO AQUINO,31555,,DEFERIDO,SUPLENTE,203
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PSDB,JUVENIL DE ALMEIDA SILVÉRIO,JUVENIL,45654,,DEFERIDO,MÉDIA,202
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PPS,JOÃO FRANCISCO SAWAYA DE LIMA,KIKO SAWAIA,23444,,DEFERIDO,SUPLENTE,200
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PFL,CESAR AUGUSTO CUSTODIO,CESAR CUSTODIO,25255,,DEFERIDO,SUPLENTE,199
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PHS,JOSE CONRADO LOPES FILHO,CONRADO,31234,,DEFERIDO,SUPLENTE,197
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PFL,DIRCE ARAGÃO BARALDI,DIRCINHA BATISTA,25007,,DEFERIDO,SUPLENTE,197
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSB,CLEIDE APARECIDA DOS SANTOS TORRES,CLEIDE CABELEIREIRA,40333,,DEFERIDO,SUPLENTE,196
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PT,FRANCISCO RIMOLI CONDE,CONDE,13131,,DEFERIDO,SUPLENTE,194
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PSTU,ERNESTO GRADELLA NETO,GRADELLA,16161,,DEFERIDO,NÃO ELEITO,194
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSL,LUIZ ANTONIO DOS SANTOS,BORÉ,17222,,DEFERIDO,SUPLENTE,190
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSB,WILLIS BENTO GOULART,WILLIS,40123,,DEFERIDO,SUPLENTE,189
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PL,ESTEVAN ROGERIO NEVES,ESTEVAN NEVES,22580,,DEFERIDO,SUPLENTE,187
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PL,ROGERIO  HENRIQUES  NETTO,DR.ROGÉRIO,22555,,DEFERIDO,SUPLENTE,186
